Date, Name , Memo , Barclays 53895114 , Vat , Net , Purchase / Direct Cost ,,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-21,DELTA FORCE GROUP LTD,DELTA FACILITIES M    INVOICE            FT ," 8,520.80 "," 1,420.13 "," 7,100.67 "," 7,100.67 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-21,DELTA FORCE GROUP LTD,DELTA FACILITIES M    INVOICE            BBP," 2,450.50 ", 408.42 ," 2,042.08 "," 2,042.08 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-21,DELTA FORCE GROUP LTD,DELTA FACILITIES M    INVOICE            FT ," 12,500.00 "," 2,083.33 "," 10,416.67 "," 10,416.67 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
25-May-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED BBP," 4,560.00 ", 760.00 ," 3,800.00 "," 3,800.00 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
31-May-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED BBP," 8,550.00 "," 1,425.00 "," 7,125.00 "," 7,125.00 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
7-Jun-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED FT," 20,000.00 "," 3,333.33 "," 16,666.67 "," 16,666.67 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
13-Oct-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED FT," 12,798.00 "," 2,133.00 "," 10,665.00 "," 10,665.00 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
17-Oct-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED FT," 12,798.00 "," 2,133.00 "," 10,665.00 "," 10,665.00 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
17-Oct-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED FT," 17,550.96 "," 2,925.16 "," 14,625.80 "," 14,625.80 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED BBP," 11,114.40 "," 1,852.40 "," 9,262.00 "," 9,262.00 ", DELTA FORCE GROUP LTD ,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,DPM SECURITY MANAGEMENT LTD,DPM SECURITY MANAG    AS PER INVIOCE BBP," 7,500.00 "," 1,250.00 "," 6,250.00 "," 6,250.00 ", DPM SECURITY MANAGEMENT LTD ,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,DPM SECURITY MANAGEMENT LTD,DPM SECURITY MANAG    AS PER INVIOCE BBP," 12,000.00 "," 2,000.00 "," 10,000.00 "," 10,000.00 ", DPM SECURITY MANAGEMENT LTD ,,,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,DPM SECURITY MANAGEMENT LTD,DPM SECURITY MANAG    AS PER INVIOCE BBP," 4,500.00 ", 750.00 ," 3,750.00 "," 3,750.00 ", DPM SECURITY MANAGEMENT LTD ,,,,,,,,,,,,,,,,,,,,,,,,
