Date, Name , Memo , Barclays 53895114 ,,,,,,,,,,,,,,,,,,,,,,,
12-Sep-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED FT," 2,592.00 ",,,,,,,,,,,,,,,,,,,,,,,
28-Sep-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,664.00 ",,,,,,,,,,,,,,,,,,,,,,,
26-Oct-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,691.00 ",,,,,,,,,,,,,,,,,,,,,,,
31-Oct-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP, 99.00 ,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,945.00 ",,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,945.00 ",,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,762.50 ",,,,,,,,,,,,,,,,,,,,,,,
24-Feb-23,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 3,260.50 ",,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,470.00 ",,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,FIRST ALLIED FACILITIES LTD,FIRST ALLIED FACIL    AS INVOICED BBP," 2,945.00 ",,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS INVOICED BBP," 2,364.00 ",,,,,,,,,,,,,,,,,,,,,,,
6-Feb-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS PER INVOICE BBP," 6,476.64 ",,,,,,,,,,,,,,,,,,,,,,,
24-Feb-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS PER INVOICE BBP, 472.77 ,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS INVOICED BBP," 4,802.40 ",,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS INVOICED BBP," 3,528.78 ",,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,FIRST CHOICE FM LTD,FIRST CHOICE FM LT    AS INVOICED BBP," 2,461.70 ",,,,,,,,,,,,,,,,,,,,,,,
10-Jun-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     7759               BBP," 3,286.04 ",,,,,,,,,,,,,,,,,,,,,,,
11-Jun-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 30,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
28-Jun-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         FT ," 20,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
9-Jul-21,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM         BBP," 50,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
